question,answer
 ما حكم تعيين النية في صلاة التراويح؟ وهل تصح صلاة التراويح بنيةٍ مطلقةٍ دون تخصيص؟ ,حكم تعيين النية في صلاة التراويح
 توفيت امرأة عن: أولاد عمٍّ لأب: ثلاثة ذكور وأنثيين. ولم تترك المتوفاة المذكورة أي وارث آخر غير من ذكروا ولا فرع يستحق وصية واجبة. فما نصيب كل وارث؟ ,توفيت عن أولاد عمٍّ لأب ثلاثة ذكور وأنثيين
 ما هي دية رِجْلِيْنِ لذكر قُطِعَتا خطأً؟ ,دية الرجلين المقطوعتين خطأ
 ما هي دية عقلة من إصبع الخنصر لليد اليمنى لذكر خطأ؟ ,حكم دية عقلة الإصبع المقطوعة خطأ
 نظرًا لمجهوداتكم لإنارة الحق في المسائل التي تخص الأمة الإسلامية، وإيضاح الحلال والحرام؛ عملًا بقوله تعالى:﴿وَمَا أَرْسَلْنَا قَبْلَكَ إِلَّا رِجَالًا نُوحِي إِلَيْهِمْ فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ﴾ [الأنبياء: 7]؛ لذلك اطلب من سيادتكم فتوى في تعاملاتنا مع البنوك في الأمور الآتية:1- التأمين على المصنع ضد بعض المخاطر، مثل: الحريق والسرقة؛ نظرًا للمخاطر التي تتعرض لها المنشأة؛ لذلك توجد شركات تأمين تقوم بالتأمين مقابل مبلغ سنوي ثابت متفق عليه في العقد، وفي حدوث أي خطر منها تقوم شركة التأمين بدفع القيمة المقدرة لهذه المنشأة أو نسبة منها حسب اتفاق الطرفين.2- التأمين على سيارات الشركة ضد الحوادث والسرقات.3- التأمين على بعض الموظفين ضد السرقة.ولسيادتكم جزيل الشكر. ,حكم التأمين على المصانع والسيارات والموظفين ضد بعض المخاطر
 ما حكم تمويل رأس المال العامل في مصنع للتشغيل وشراء الخامات؛ فإن السائل يقول: نظرًا لمجهوداتكم لإنارة الحق في المسائل التي تخص الأمة الإسلامية، وإيضاح الحلال والحرام؛ عملًا بقوله تعالى:﴿وَمَا أَرْسَلْنَا قَبْلَكَ إِلَّا رِجَالًا نُوحِي إِلَيْهِمْ فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ ﴾[الأنبياء: 7]؛ لذلك اطلب من سيادتكم فتوى في تعاملاتنا مع البنوك في قرض من البنك؛ لتمويل رأس المال العامل للمصنع الجديد للشركة (تمويل شراء خامات).رأس المال العامل هو: قرض من البنك قصير الأجل، أقل من سنة، مقابلة مصاريف سنوية والشركة في احتياج لمثل هذا النوع من التمويل؛ للقيام بأول دورة تشغيلية للمصنع الجديد. ,حكم تمويل رأس المال العامل في مصنع للتشغيل وشراء الخامات
 نظرًا لمجهوداتكم لإنارة الحق في المسائل التي تخص الأمة الإسلامية، وإيضاح الحلال والحرام؛ عملًا بقوله تعالى:﴿وَمَا أَرْسَلْنَا قَبْلَكَ إِلَّا رِجَالًا نُوحِي إِلَيْهِمْ فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ﴾ [الأنبياء: 7]؛ لذلك اطلب من سيادتكم فتوى في تعاملاتنا مع البنوك في الآتي:التأجير التمويلي لاستيراد ماكينات من الخارج للمصنع الجديد للشركة:هذه المعاملة المالية مستحدثة تشبه الشراء بالتقسيط، بمعنى: عند شراء ماكينة للمصنع نقوم بالاتفاق مع شركة التأجير التمويلي على أن تقوم هي بشراء الماكينة، ثم تقوم بتقسيط سعر الماكينة علينا بعد إضافة المصاريف السنوية، وبعض المصاريف الإدارية، وبعد نهاية سداد آخر قسط نقوم نحن المستأجر بتملك هذه الماكينة. ولسيادتكم جزيل الشكر.  ,حكم التأجير التمويلي
 ما حكم المصافحة عقب الصلاة بين المصلين؟ أفادكم الله. ,"المصافحة عقب الصلاة وقول: ""حرمًا"""
 ما حكم بيع الشيكات الآجلة للبنك؟ حيث نظرًا لمجهوداتكم لإنارة الحق في المسائل التي تخص الأمة الإسلامية، وإيضاح الحلال والحرام؛ عملًا بقوله تعالى: ﴿وَمَا أَرْسَلْنَا قَبْلَكَ إِلَّا رِجَالًا نُوحِي إِلَيْهِمْ فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُونَ﴾ [الأنبياء: 7]؛ لذلك اطلب من سيادتكم فتوى في تعاملاتنا مع البنوك في الآتي:القطع على الأوراق التجارية (الشيكات، والكمبيالات) بمعنى: معظم المبيعات في هذا النشاط 95% آجل مقابل شيكات أو كمبيالات آجلة السداد، عند ذلك تقوم الشركة بإيداعها بالبنك للتحصيل؛ ونظرًا لعدم استقرار الدولار (وهذا يؤدي إلى انخفاض القوة الشرائية للجنية المصري)؛ فقد تم الاتفاق مع البنك على أن نقوم بسحب وليكن 80% من قيمة هذه الأوراق التجارية قبل ميعاد استحقاقها؛ لاستخدام هذه السيولة في تمويل شراء البضاعة، وذلك مقابل مصاريف سنوية محددة تدفع للبنك لحين ميعاد استحقاق هذه الأوراق التجارية. ولسيادتكم جزيل الشكر. ,حكم بيع الشيكات الآجلة للبنك
" ما حكم الشرع فيمَن يطلب معاشرةَ زوجتِه، أو يفعلان ذلك سِرًّا بعد أن تَمَّ عقد النكاح أمام الأهل والأصدقاء رسميًّا، ولكن لم يتم عمل الفَرَح أو الزِّفَاف؛ والذي يُسَمَّى في عُرْف الناس الآن ""الدُّخْلَة""؟ ",حكم الدخول بالزوجة قبل الزفاف
 ما حكم إحضار المقرئين في سرادقات العزاء؟ ,حكم إحضار المقرئين في سرادقات العزاء
 ما حكم الدعاء الجماعي عقب الصلاة؟ وهيئته أن يدعو الإمام بعد الانتهاء من ختام الصلاة وقراءة الأذكار ويُؤَمِّنُ المصلون خلفه، وقد اعتاد الناس في بلادنا ذلك الأمر، غير أن هناك من ينكر علينا ذلك. فهل هذا موافق للشرع؟ ,حكم الدعاء الجماعي عقب الصلاة
 ما حكم انكشاف بعض العورة في الصلاة عند الرجال؟ حيث يلاحظ عند حضور صلاة الجماعة والجمعة انكشاف بعض الظهر عند بعض الـمُصلِّين، وبعض الناس يرتدون بناطيل يَظْهَر منها جزءٌ من الأليتين أثناء السجود؛ فهل صلاتهم صحيحة؟ وماذا لو سارع الـمُصَلِّي بجذب التيشيرت أو البنطال ليُغَطِّي ما انكشف منه؟ ,حكم ظهور أسفل الظهر في الصلاة
" أرجو التفضل بالإحاطة بأنه صدر لصالحي عدة أحكام قضائية نهائية بضم ابنتي الصغيرة منذ عام 2001م ولكن السيدة والدتها -مطلقتي- ممتنعة عن تنفيذ تلك الأحكام، وكَيدًا لي فقد أقامت ضدي دعوى حبس نظير متجمد نفقة الصغيرة عن فترة كان من المفترض أن تكون فيها ابنتي في يدي تنفيذًا لأحكام الضم الصادرة لصالحي، واستصدرَت ضدي حكمًا بالحبس ثلاثين يومًا إذا لم أدفع مبلغ سبعة آلاف ومائة جنيه متجمد نفقة الصغيرة.ولما كان قد صدر لصالحي حكم نهائي باسترداد مبلغ تسعة عشر ألفًا ومائة وعشرين جنيهًا متجمد نفقة زوجية سبق أن تقاضته مني مطلقتي دون وجه حق تنفيذًا لأحكام حبس مماثلة رغم صدور حكم بالتطليق وبإسقاط كافة حقوقها الشرعية المترتبة على الزواج والطلاق؛ لأن الإساءة من جانبها.وحيث إن والدة ابنتي موسرة وليست معسرة أو محتاجة، بل تستطيع أداء الدَّين من مالها؛ لأنها تعمل براتب شهري كبير إضافة إلى أنها متزوجة بزوج يقوم بالإنفاق عليها، وبالتالي فإن طلب المقاصة لن يكون فيه مضرة بها، وقضاء الدَّين إنما يجب بما فضل عن الكفاية، خاصة وقد استقر الفقه على أن دَين الزوجة في غير حال الاستدانة لا يكون دَينًا قويًّا، وأنه إذا كان الزوج هو طالب المقاصة، فإنه يُجاب إلى طلبه في جميع الأحوال؛ لأنه يتنازل عن قوة دَينه، ولأنه قد رضي بذَهاب دَينه القوي في الدَّين الضعيف. ""الأحوال الشخصية لمحمد أبو زهرة"".فأرجو من سيادتكم التفضل بإفادتي عن الوجه الشرعي في طلب إجراء مقاصة بين دَين متجمد نفقة ابنتي الممتنعة بإيعاز من والدتها عن أحكام الضم النهائية الصادرة لصالحي، والدَّين الذي لي على أمها الموسرة التي تستطيع أداء الدَّين من مالها البالغ تسعة عشر ألفًا ومائة وعشرين جنيهًا؛ وذلك طبقًا لما جاء في القرآن الكريم والسنة النبوية الشريفة الصحيحة وطبقًا لما تُقِرُّه قواعد فقه المذهب الحنفي؛ حيث إن الشريعة الإسلامية هي القانون العام الواجب التطبيق في مسائل الأحوال الشخصية مع اعتبار الأمر مهمًّا وعاجلًا؛ حيث إني مهدد بالحبس بينما أنا الدائن ولست المَدِين.  ",مقاصة بين دين متجمد نفقة البنت والدين الذي على أمها
 ورثت مع إخوتي عمارة صغيرة عن والدتنا رحمها الله، والعمارة بها خمس شقق سكنية ودكان واحد، وكل وحداتها مؤجرة للغير بعقود قديمة، تتراوح الأجرة الشهرية لكل منها بين الثلاثة والخمسة جنيهات فقط، وجميع المستأجرين لا يقيمون بها، إلا واحدًا فقط يقيم فعلا في الدور الأرضي، وجميع المستأجرين مستعدون للإخلاء بمن فيهم الساكن المقيم بالدور الأرضي مقابل مبالغ ندفعها لهم، ولكننا لا نملك أي سيولة نقدية لذلك، والعمارة في حالة خلوها من السكان يمكن بيعها بما يقارب السبعمائة ألف جنيه، وجميع الورثة في حاجة إلى أنصبتهم في هذه القيمة. وهناك مستثمر موثوق فيه عندنا مستعد لسداد المبالغ المطلوبة من السكان، على أن يتم تنازل كل منهم عن الوحدة التي يستأجرها لهذا المستثمر حتى نتمكن من بيع العمارة للغير، وأخذ نصف القيمة من المشتري، مع التعهد له بتسليمه العمارة خالية من جميع السكان خلال شهر أو شهرين، ومن ثم يتنازل المستثمر لنا عن جميع الوحدات، على أن نرد له ما دفعه للسكان مضافا إليه عائد استثمار قدره عشرة بالمائة إذا تم ذلك خلال مدة يوم إلى شهر من تاريخ دفع المستثمر مقابل الإخلاء، أو خمسة عشر بالمائة إذا زادت المدة عن شهر إلى شهرين، أو عشرون بالمائة إذا زادت عن شهرين إلى ستة أشهر، أو وفقا لسعر السوق إذا زادت المدة عن الستة الأشهر. فما الحكم الشرعي في ذلك؟  ,بطلان التصرف للتردد وعدم الجزم بالثمن
 يطلب السائل بيان الحكم الشرعي في استخدام دماء ولحوم الخنزير في تصنيعها كغذاء للدواجن وغيرها، وكذلك دماء ولحوم الأنواع الأخرى من الحيوانات التي تعد لحومها للأكل من الأبقار والجاموس والجمال والأغنام التي يتم ذبحها حسب الشريعة الإسلامية ويثبت عدم صلاحيتها للاستهلاك الآدمي إلى جانب الحيوانات التي تنفق قبل ذبحها، مع العلم بأن المجازر الآلية للدواجن التي أنشئت في السنوات الأخيرة بمصر تضم مصانع لتصنيع مخلفات الذبح من الدماء واللحوم غير الصالحة للاستهلاك الآدمي، وكذلك النافقة منها، والتي تعتبر مصدرًا أساسيًّا لأعلاف تغذية الدواجن. ,حكم استخدام مخلفات المجازر والحيوانات النافقة والخنزير في الأعلاف
 رجل متزوج، تزوج مرة ثانية من امرأة أرملة بحضور أهلها وأقاربها جميعًا، وكان شرط الزواج أنه لا يريد منها إنجاب الأولاد له؛ لأنه لديه من زوجته الأولى عشرة أولاد وهو كبير في السن حوالي الثالثة والخمسين، وهي وافقت على هذا الشرط بحضور أهلها.والشرط الثاني: أنها لا ترثه ولا يرثها، مقابل أنه اشترى لها بيتًا ووضعه باسمها، وأن إرثَها منه هو هذا البيت فقط وما اشتراه لها من احتياجات. باختصار هو غير مبسوط مع زوجته الأولى، والزوجة الثانية مطلقة وهي تريد السترة وزوجًا يصرف عليها.وكل الشروط السابقة تم الموافقة عليها من خلال عقد وشهود وبحضور ولي أمرها وأقاربها، علمًا أنها وافقت بإرادتها غير مكرهة وبكامل قواها العقلية. نرجو منكم الإفادة وجزاكم الله عنا خير الجزاء. ,اشتراط الزوج على زوجته عدم الإنجاب وعدم الإرث
 مرضت بحالة اكتئاب نفسي تفاعلي مع حالة تشكك وخلط عقلي وهذيان وعدم إدراك تام لطبيعة التصرفات. وخلال فترة المرض تمالطلاقعام 1982م، وعام 1985م، وكان ذلك تحت تأثير المرض وحالة الخلط العقلي والهذيان وعدم الإدراك التام لطبيعة التصرفات وذلك في أثناء الطلاق. ومرفق طيه صورة ضوئية من مستندات العلاج من عام 1981م وحتى عام 1986م، وبخلفها تواريخ التردد على السيد الطبيب المعالج، وكذا صورة ضوئية من إشهادي الطلاق عامي 1982م، 1985م. أرجو من سيادتكم بيان الحكم الشرعي. ,طلاق المريض باكتئاب نفسي وتشكك وهذيان
 ما حكم إخفاء دخل الزوج عن الزوجة؟ مع العلم أنه يَكفي كل طلباتها وطلبات بيته. ,إخفاء دخل الزوج عن الزوجة
 ما حكم الصلاة في الأماكن المخصصة للألعاب والاستحمام وغرف تغيير الملابس؟ فبعض أعضاء أحد الأندية الرياضية يقومون بأداء صلاة الجماعة في بعض الأماكن المخصصة للألعاب والاستحمام وغرف تغيير الملابس، مما دفع البعض للسؤال عن جواز صلاة الجماعة في هذه الأماكن، علمًا بأن مرتادي هذه الأماكن يقومون بارتداء الملابس الرياضية وملابس الاستحمام، ويقوم البعض الآخر بالثرثرة وتبادل الأحاديث غير الملائمة لجلال الصلاة، علمًا بأن للنادي مسجدًا كبيرًا للصلاة وزاويتين مجهزتين على مستوًى عالٍ، ولا تبعد أي منهما عن أي مكان في النادي سوى القليل من الأمتار.برجاء الإفادة عن جواز صلاة الجماعة في هذه الأماكن درءًا للخلافات ونبذًا للفتنة داخل النادي. ,الصلاة في الأماكن المخصصة للألعاب والاستحمام وغرف تغيير الملابس
 حكمصيامالمرأة الحامل؟  ,حكم صيام المرأة الحامل
 ما هو الرأي الشرعي والفتوى الشرعية بخصوص تعليق لافتات بأسماء المتوفًّيْنَ، ووضع هذه اللافتات داخل المدفن بغرض التباهي مما يتنافى مع حرمه الميت؟ مع العلم بأنَّ هذا المدفن معلوم لدى الجميع منذ إنشائه عام: 1960م، كمدفن لأهالي بلدة القوصية محافظة أسيوط المقيمين بالقاهرة، وليس ملكًا لأحد بعينه؟ يرجى التكرم بموافاتنا بالرأي الشرعي مكتوبًا حتى لا يصبح ذلك بدعةً يتبعها أهالي المتوفى.  ,حكم وضع لافتة باسم المتوفى على المقبرة
 ما حكم تشييع المسلم لجنازة مسيحي؟ حيث توفي من أهل قريتنا رجل مسيحي، شارك في جنازته عدد كبير من أهلنا في القرية، ومعظمهم مسلمون، وقد خرجت أصوات بعد ذلك تقول إن تشييع المسلم للمسيحي غير جائز شرعًا. لذلك نرجو من حضراتكم إعطاءنا فتوى موثقة في حكم حضور المسلم جنازة المسيحي أو غير المسلم. ولكم جزيل الشكر. ,حكم تشييع المسلم لجنازة مسيحي
 ما الحكم الشرعي في الحصول على جنين باشتراك فرد ثالث مع الأبوين three-parent abay-؟ هذه العملية يكون فيها الحمض النووي (الشفرة الوراثية) من الأبوين لكن الميتوكوندريا تكون من شخص ثالث. هل هذا حلال أو حرام؟ملاحظة المترجم: هذه العملية هي صورة من صور الحقن المجهري تتضمن الأبوين الحقيقيين للجنين وتأتي منهما الشفرة الوراثية ويتم أخذ الميتوكوندريا من شخص ثالث لتجنب ولادة الطفل بأمراض وراثية معينة مرض السكري والصمم وبعض أمراض القلب والكبد. هناك الكثير من الجدل حول هذه العملية البيولوجية ولم تقرها أي بلد سوى بريطانيا في فبراير الماضي 2015م. ,حكم التبرع بالميتوكوندريا
 ما حكم بيع شعر الآدمي؛ فقد ظهر في الآونة الأخيرة عن طريق عددٍ من المواقع الإلكترونية والشركات والمحلَّاتِ التجارية عروضٌ لشراء وبيع الشعر الآدمي بمواصفاتٍ معينةٍ على حسب طوله وكثافته ولونه وغير ذلك من المواصفات المطلوبة كل حسب سعره. فما حكم الشرع في ذلك؟ ,حكم بيع شعر الآدمي
 مَا حكم حضورِ الحائضِ غسلَ الميت وتكفينَه إذا أوصى بذلك؟ مع العلم بأنها من محارم الميت. ,حكم حضور الحائض غسل الميت
 رجلٌ اعتمر في أَشْهُر الحج ولم يخرج مِن الحرم، ثم أَحْرَم بالحج نيابةً عن ميت، هل هذا تَمَتُّع؟ وهل يجب عليه هدْيُ تَمَتُّع؟ ومَن الذي يجب عليه الهدي في هذه الصورة؟ ,اعتمر عن نفسه وحج عن غيره
 هل الأجر سواء إذا استخدمنا فرشاةً ومعجونًا أو سِوَاكًا؟ ,حكم استخدام الفرشاة والمعجون بدلا من السواك
 ما حكم استعمال الذهب في تحلية المصاحف وتمويهها وكتابتها؟ ,حكم تزيين المصاحف بالذهب
 ما حكم الاحتفال بليلة الإسراء والمعراج في السابع والعشرين من شهر رجب؟ حيث يزعم بعض الناس أن الإسراء لم يحدث في ذلك الوقت وأن ذلك بدعة، أفيدونا أفادكم الله. ,الاحتفال بالإسراء والمعراج في السابع والعشرين من رجب
 ما حكم زيارة الزوجة قبر زوجها؟ فقد تُوفِّيَ والدي، وتريد زوجته الذهاب إليه لتزوره في المقابر، فهل يجوز لها ذلك؟ ,حكم زيارة الزوجة قبر زوجها
" حكم قراءة صحيح البخاري وكتب السنة لرفع الوباء حيث ورد سؤال يقول صاحبه: في ظِلِّ ما يمرُّ به العالمُ من تفشِّي وباء كورونا يقومُ بعضُ العلماء وطلبة العلم بتنظيم قراءة ""صحيح البخاري"" بتقسيمه على من يحِبُّ المشاركةَ في ختمه، عن طريق وسائلِ التواصل الاجتماعي؛ تبرُّكًا وتوسُّلًا إلى الله تعالى لكشْف وباء كورونا، جريًا على ما اعتاده علماءُ الأزهر من قراءته في الملمَّات والنوازل: كدفع الوباء، وكشف البلاء، ومواجهة الغلاء.لكن خرج بعضُ مدَّعي العلمِ على بعض المواقع زاعمًا أن التَّعبُّدَ بتلاوة صحيح البخاري لمجرد التِّلاوة بدعة، وأن التبرُّك والتوسُّل به حرام، وأنه لا فرقَ في ذلك بين ""صحيح البخاري"" و""مسلم"" مثلًا، وأنها مجرَّد طقوس ابتدعها بعض الجهلة لمواجهة الأوبئة، وأنَّ توظيف ""صحيح البخاري"" للاستشفاء والتحصين لرفع البلاء أمرٌ متكلَّف، وأنَّ من ضرورياتِ الدين أنَّ المقصودَ مِن كتاب الله وسنَّة رسوله صلى الله عليه وآله وسلم هو العمل بِمَا فيهما مِن الأوامرِ والنَّواهي، والإيمان بِمَا فيهما مِن الأخبار، وليس المقصود مجرَّد تلاوتهما ألفاظًا وتعبُّدًا.. فبَيِّنوا لنا الصوابَ في ذلك مشكورين.1- عادة إقراء ""صحيح البخاري"" عند النوازلِ من الكوارثِ والأوباء قديمة، جرت على لسان السراج البلقيني في اليقظة والمنام.2- لعل أمر هذه الظاهرة يعودُ إلى أقدم من وباء الطاعون الذي عمَّ الدنيا سنة 749هـ، واشتهرت هذه الظاهرة عند قدوم تيمورلنك إلى بلاد المسلمين.3- أشهر الإمام سراج الدين البلقيني العمل بها، ودوَّنتها كتب التراجم والتأريخ، ونقلنا ذلك عنه فيما مضى.4- التحقيق أن هذا العمل ليس موصولًا بعصور السلف، وأنَّ شيوعَه وذيوعَه بحكم وقوعه ووجوده لا يعطيه الحجِّية، وأنه ما زال يحتاجُ للدليل، وأن مجرَّد رؤيةِ النبي صلى الله عليه وسلم في المنام يأمرُ به لا يكفي مُستَدلًّا؛ فالمنامات يُسْتَأنس بها وليست -عند أهل السنة والجماعة- حجةً وبرهانًا، وأن الاتِّكاء عليها مع ترْك الأخْذ بالأسباب بدعةٌ في الدين، ومضادَّة لمقاصدِ الشريعة الكلية، والله المستعان وهو الواقي والعاصم. ",حكم قراءة صحيح البخاري وكتب السنة لرفع الوباء
 ما حكم قراءة الفاتحة في قضاء الحوائج وشفاء المرضى؟ أفادكم الله. ,حكم قراءة الفاتحة في قضاء الحوائج وشفاء المرضى
 الاستعلام على وجه رسمي من دار الإفتاء المصرية بالقاهرة، عما إذا كانت الفتوى رقم 10/ 311 والمرفق صورة ضوئية منها صادرة من دار الإفتاء المصرية من عدمه -ومفادها تحريم الاحتفال بشم النسيم-، وفى الحالتين بيان مدى صحة تلك الفتوى من عدمه، وطلب الإفادة بذلك على وجه رسمي. ,فتوى تحريم شم النسيم
 توفي رجل عن: جدة لأب، وأخوين لأم: ذكر وأنثى، وإخوة لأب: ذكر وأنثيين. ولم يترك المتوفى المذكور أي وارث آخر غير من ذكروا ولا فرع يستحق وصية واجبة. فما نصيب كل وارث؟ ,توفي عن جدة لأب وأخوين لأم وإخوة لأب
 توفي رجل عام 2016م عن: زوجة، وابن بنته المتوفاة قبله، وأخت شقيقة، وابن أخ شقيق. ولم يترك المتوفى المذكور أيَّ وارث آخر ولا فرع يستحق وصيةً واجبةً غير من ذكروا. فما نصيبُ كل وارث ومستحق؟ ,ميراث الزوجة مع ابن البنت
 ما حكم التطوع بأقل من سبعة أشواط فيالطوافبالبيت؟ ,التطوع بالطواف بأقل من سبعة أشواط
 قليلا ما أجتمع بزوجتي بسبب سفري، وغالبًا ما آتي في وقت تكون فيه حائضًا، وعادتها أن تحيض أربعة عشر يومًا؛ فلا نستطيع الاستمتاع إلا يومًا أو نحوه في مدة مكثي معها. فهل يجوز لي أن أستمتع بكامل جسد زوجتي وهي حائض إذا اجتنبت الجماع؟ ,حدود الاستمتاع بين الزوجين أثناء الحيض
 ما حكم الاحتفال بالموالد؛ مثل مولد سيدنا الحسين والسيدة زينب عليهما السلام؟ وما حكم الأفعال التي يأتيها بعض الناس في هذه الموالد من الذبح والنذور وغيرها من الأفعال؟ وما حكم من يُشَبِّه تلك الأفعال بمناسك الحج؟ ,أحكام الموالد وتشبيه أفعالها بمناسك الحج
 مَا حكم إيواء الإرهابيين وإخفائهم عن الأعين بدعوى إعانتهم على الجهاد في سبيل الله؟ ,حكم إيواء الإرهابيين
 توفي رجل عن: أولاد أخت شقيقة: ذكرين وثلاث إناث، وأولاد أخت شقيقة: ذكر وأنثيين، وبنت أخت شقيقة، وأولاد خال شقيق: ذكرين وأنثيين. ولم يترك المتوفى المذكور أي وارث آخر غير من ذكروا، ولا فرع يستحق وصية واجبة. فما نصيب كل وارث؟ ,توفي عن أولاد أخوات شقيقات وأولاد خال شقيق
 هل الرطوبات التي تخرج من فرج المرأة غير الحيض والنفاس طاهرة أم نجسة؟ وما كيفية الطهارة منها؟ وهل خروجها ينقض الوضوء؟ ,رطوبات الفرج والطهارة منها
 ما هو المعمول به في الفتوى والقضاء طبقًا لأرجح الأقوال في مذهب الإمام أبي حنيفة بالنسبة لانتهاء عدة سيدة في الثلاثين من عمرها طلقت طلاقًا رجعيًّا من سنتين، ولم تَرَ دم الحيض بعد الطلاق إلا مرة واحدة فقط، ثم ارتفع عنها الحيض لسبب لا تعلمه، مع أن حيضها كان معتادًا قبل الطلاق، فهل يُحكَم بأنها ممتدة الطهر تنتظر إلى سن الإياس ثم تعتد بثلاثة أشهر؛ فتظل معلقة بحيث لا تستحق مؤخر صداقها ولا يمكنها الزواج قبل ذلك؟ ,عدة المطلقة ممتدة الطهر
 ما شروط الأضحية؟ فقد اعتدت أن أضحي كل عام بخروف اقتداء بسنة رسولنا الكريم، ولما كان لحم الخروف لا يكفي لسداد ما أتصدق به على الفقراء وما أوزعه من هدايا على الأقارب والأصدقاء، فقد درجت منذ عدة سنوات على أن أشترك مع ابني في التضحية بعجل من البقر أو الجاموس، والآن يريد زوج ابنتي أن يشترك معنا في الأضحية على أن نشتري نحن الثلاثة عجلًا أكبر، ويطلب السائل الاستفسار عن الآتي:1- هل يجوز التضحية من البقر والجاموس؟2- ما هو الحد الأدنى لسن كل من عجل البقر والجاموس الذي تتم به التضحية؟3- هل يجوز التضحية بأنثى البقر وبأنثى الجاموس؟ وما هو الحد الأدنى لسن كل منهما؟4- ما هو الحد الأقصى لعدد المشتركين في التضحية بعجل البقر أو عجل الجاموس؟ويطلب السائل بيان الحكم الشرعي في ذلك. ,شروط الأضحية
 جماع الرجل زوجتَه بعد موتها هو فعلٌ تأباه العقولُ السليمةُ والفِطَرُ المستقيمةُ، وتَنفِرُ منه الطِّبَاعُ السوية، وقد نص الفقهاء على حرمته شرعًا، وأنه من كبائر الذنوب، يستحق مرتكبُهُ العقاب والتأديب.وورود هذه المسألة في كتب التراث إنما هو على جهة فرض حصولها لبيان الآثار المترتبة عليها؛ من العقوبة ونحوها، والفقهاء إذ تحدثوا فيها من هذه الوجهة استبعدوا حدوثها من إنسانٍ عاقلٍ صاحب فطرةٍ سوية؛ تمامًا كما تكلّموا -مثلًا- عن حكم طلاق السكران؛ فلا يدِّعي عاقلٌ أن في كلامهم هذا إشارةً إلى جواز شرب المسكِر، أو نحو ذلك مما لا يرتضيه إلا جاهلٌ بالشريعة وعلومها. ,معاشرة الزوجة المتوفاة
 هل يجوز صرف الزكاة في إنشاء كُتَّابٍ لتعليم القرآن الكريم؟ وهل يجوز صرفها في شراء حافلة لجمعية لتَنَقُّل المعاقين التَّابعين لها؟ ,صرف الزكاة في إنشاء مكتب تحفيظ للقرآن وشراء حافلة للمعاقين
 زوجةُ السائل أرضعَت لأخته طفلين، وأخته أرضعَت لزوجته طفلين، ثم أنجبت أختُه ولدًا وأنجبت زوجتُه بنتًا لم يرضع أحد منهما من أمِّ الآخر. وطلب السائل الإفادة عمَّا إذا كان يحل زواج هذا الولد من هذه البنت. ,الزواج بمن رضع إخوتها مع إخوته
" ما حكم الشرع في إعطاءالفقراء والمساكينمن زكاة المال لشراء شهادات الادخار التأمينية المعروفة بـ""شهادة أمان المصريين""؟ ومرفق بالطلب نموذج لهذا النوع من الشهادات من أحد البنوك الوطنية. ",حكم شراء شهادات أمان من الزكاة للفقراء
 سائل يقول: توفي والدي رحمه الله في يونيه 1998م، ووالدتي موجودة، ونحن خمسة أشقاء: ثلاثة ذكور وبنتان والكل متزوج، وقبل وفاة والدي بعشر سنوات أو أكثر سجل ووثق قطعة أرض بناء لكل من شقيقتي، لكل واحدة قيراط وثلث مبانٍ، وقام أزواجهما بالبناء، وفي مارس 2003م توفيت شقيقتي وتركت طفلتين، وبعد أقل من عام من وفاتها فوجئنا بأن الشقيق الثاني قام بسلب نصف منزل شقيقتي المتوفاة، وذلك بطريقة لا أخلاقية، وقام بتسجيل نصف المنزل باسمه، وهو الآن في نزاع بينه وبين زوج شقيقتي المتوفاة.القضية في المحكمة الآن، وقام بحصر التركة بدون معرفة أمه وأشقائه، وقال: إن كل ما فعلته مثل القرآن بل أفضل، فأنا دارس للشريعة والقانون، واستطرد محذرًا: لو تم الطعن فيما فعلته سيكون مصير من يفعل ذلك السجن لسنوات لا يعلم مداها أي إنسان.إن كل ما عمله هذا الشقيق لم يرض أمه أو أشقاءه، والأم تتمنى له الموت أو الهداية، وقد أساء سمعتنا في القرية. فهل نسكت ويضيع حق الطفلتين اليتيمتين بنتَي أختي؟ أم يسجن الأخ الشارد؟ ,رد الأخ الظالم عن ظلمه
 قال الله سبحانه وتعالى في كتابه الكريم: ﴿الطَّلَاقُ مَرَّتَانِ فَإِمْسَاكٌ بِمَعْرُوفٍ أَوْ تَسْرِيحٌ بِإِحْسَانٍ﴾ [البقرة: 229]؛ فهل تدل هذه الآية على أن الرجل ليس له أن يطلق زوجته إلا مرتين فقط؛ فإن طلقها مرتين فلا يحق له إرجاعها؟ ,عدد الطلقات التي يملكها الرجل على زوجته
